Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length,Unnamed: 17,personId
Al McGuire*,Al McGuire,1952,1955,G-F,2-Jun,180,9/7/1928,7/9/1928,1928,27,St. John's,https://www.basketball-reference.com/players/m/mcguial01.html,mcguial01,1928,27,3,,77536
Al Skinner,Al Skinner,1975,1980,G,3-Jun,190,6/16/1952,16/6/1952,1952,28,UMass,https://www.basketball-reference.com/players/s/skinnal01.html,skinnal01,1952,28,5,,78167
Al Smith,Al Smith,1972,1976,G,1-Jun,185,1/15/1947,15/1/1947,1947,29,Bradley,https://www.basketball-reference.com/players/s/smithal01.html,smithal01,1947,29,4,,
Al Thornton,Al Thornton,2008,2011,F,8-Jun,220,12/7/1983,7/12/1983,1983,28,Florida State,https://www.basketball-reference.com/players/t/thornal01.html,thornal01,1983,28,3,,201154
Al Tucker,Al Tucker,1968,1972,F,8-Jun,190,2/24/1943,24/2/1943,1943,29,Oklahoma Baptist University,https://www.basketball-reference.com/players/t/tuckeal01.html,tuckeal01,1943,29,4,,78372
Al Wood,Al Wood,1982,1987,G-F,6-Jun,193,6/2/1958,2/6/1958,1958,29,UNC,https://www.basketball-reference.com/players/w/woodal01.html,woodal01,1958,29,5,,78610
Alaa Abdelnaby,Alaa Abdelnaby,1991,1995,F-C,10-Jun,240,6/24/1968,24/6/1968,1968,27,Duke,https://www.basketball-reference.com/players/a/abdelal01.html,abdelal01,1968,27,4,,76001
Alan Williams,Alan Williams,2016,2019,F-C,8-Jun,265,1/28/1993,28/1/1993,1993,26,UC Santa Barbara,https://www.basketball-reference.com/players/w/willial03.html,willial03,1993,26,3,,1626210
Alec Kessler,Alec Kessler,1991,1994,F-C,11-Jun,230,1/13/1967,13/1/1967,1967,27,Georgia,https://www.basketball-reference.com/players/k/kesslal01.html,kesslal01,1967,27,3,,77251
Aleksandar Radojević,Aleksandar Radojević,2000,2005,C,3-Jul,250,8/8/1976,8/8/1976,1976,29,Barton County Community College,https://www.basketball-reference.com/players/r/radojal01.html,radojal01,1976,29,5,,1893
Aleksej Pokusevski,Aleksej Pokusevski,2021,2024,F,Jul-00,190,12/26/2001,26/12/2001,2001,23,,https://www.basketball-reference.com/players/p/pokusal01.html,pokusal01,2001,23,3,,1630197
Alex Acker,Alex Acker,2006,2009,G,5-Jun,185,1/21/1983,21/1/1983,1983,26,Pepperdine,https://www.basketball-reference.com/players/a/ackeral01.html,ackeral01,1983,26,3,,101165
Alexis Ajinça,Alexis Ajinça,2009,2017,C-F,2-Jul,248,5/6/1988,6/5/1988,1988,29,,https://www.basketball-reference.com/players/a/ajincal01.html,ajincal01,1988,29,8,,201582
Alize Johnson,Alize Johnson,2019,2023,F,7-Jun,212,4/22/1996,22/4/1996,1996,27,"Frank Phillips College, Missouri State",https://www.basketball-reference.com/players/j/johnsal02.html,johnsal02,1996,27,4,,1628993
Allen Crabbe,Allen Crabbe,2014,2020,G-F,5-Jun,212,4/9/1992,9/4/1992,1992,28,California,https://www.basketball-reference.com/players/c/crabbal01.html,crabbal01,1992,28,6,,203459
Alperen Şengün,Alperen Şengün,2022,2025,C-F,11-Jun,235,7/25/2002,25/7/2002,2002,23,,https://www.basketball-reference.com/players/s/sengual01.html,sengual01,2002,23,3,,1630578
Amir Coffey,Amir Coffey,2020,2025,G,7-Jun,210,6/17/1997,17/6/1997,1997,28,Minnesota,https://www.basketball-reference.com/players/c/coffeam01.html,coffeam01,1997,28,5,,1629599
Andray Blatche,Andray Blatche,2006,2014,F,11-Jun,235,8/22/1986,22/8/1986,1986,28,,https://www.basketball-reference.com/players/b/blatcan01.html,blatcan01,1986,28,8,,101154
Andre Barrett,Andre Barrett,2005,2008,G,10-May,172,2/21/1982,21/2/1982,1982,26,Seton Hall,https://www.basketball-reference.com/players/b/barrean01.html,barrean01,1982,26,3,,2857
Andre McCarter,Andre McCarter,1977,1981,G,3-Jun,190,8/25/1953,25/8/1953,1953,28,UCLA,https://www.basketball-reference.com/players/m/mccaran01.html,mccaran01,1953,28,4,,77504
Andre Turner,Andre Turner,1987,1992,G,11-May,160,12/13/1964,13/12/1964,1964,28,Memphis,https://www.basketball-reference.com/players/t/turnean01.html,turnean01,1964,28,5,,78377
Andrew Bynum,Andrew Bynum,2006,2014,C,Jul-00,285,10/27/1987,27/10/1987,1987,27,,https://www.basketball-reference.com/players/b/bynuman01.html,bynuman01,1987,27,8,,101115
Andrew Goudelock,Andrew Goudelock,2012,2016,G,3-Jun,200,12/7/1988,7/12/1988,1988,28,College of Charleston,https://www.basketball-reference.com/players/g/goudean01.html,goudean01,1988,28,4,,202726
Andrew Nicholson,Andrew Nicholson,2013,2017,F,9-Jun,250,12/8/1989,8/12/1989,1989,28,St. Bonaventure,https://www.basketball-reference.com/players/n/nichoan01.html,nichoan01,1989,28,4,,203094
Andris Biedriņš,Andris Biedriņš,2005,2014,C,11-Jun,240,4/2/1986,2/4/1986,1986,28,,https://www.basketball-reference.com/players/b/biedran01.html,biedran01,1986,28,9,,2740
Anfernee Simons,Anfernee Simons,2019,2025,G,3-Jun,181,6/8/1999,8/6/1999,1999,26,,https://www.basketball-reference.com/players/s/simonan01.html,simonan01,1999,26,6,,1629014
Ansu Sesay,Ansu Sesay,2002,2005,F,9-Jun,225,7/29/1976,29/7/1976,1976,29,Ole Miss,https://www.basketball-reference.com/players/s/sesayan01.html,sesayan01,1976,29,3,,1738
Anthony Bennett,Anthony Bennett,2014,2017,F,8-Jun,245,3/14/1993,14/3/1993,1993,24,UNLV,https://www.basketball-reference.com/players/b/bennean01.html,bennean01,1993,24,3,,203461
Anthony Bonner,Anthony Bonner,1991,1996,F,8-Jun,215,6/8/1968,8/6/1968,1968,28,Saint Louis,https://www.basketball-reference.com/players/b/bonnean01.html,bonnean01,1968,28,5,,41
Anthony Cook,Anthony Cook,1991,1996,F-C,9-Jun,205,3/19/1967,19/3/1967,1967,29,Arizona,https://www.basketball-reference.com/players/c/cookan01.html,cookan01,1967,29,5,,76433
Anthony Edwards,Anthony Edwards,2021,2025,G-F,4-Jun,225,8/5/2001,5/8/2001,2001,24,Georgia,https://www.basketball-reference.com/players/e/edwaran01.html,edwaran01,2001,24,4,,1630162
Anthony Frederick,Anthony Frederick,1989,1992,F,7-Jun,205,12/7/1964,7/12/1964,1964,28,Pepperdine,https://www.basketball-reference.com/players/f/fredean01.html,fredean01,1964,28,3,,76752
Anthony Jones,Anthony Jones,1987,1990,G-F,6-Jun,195,9/13/1962,13/9/1962,1962,28,"Georgetown, UNLV",https://www.basketball-reference.com/players/j/jonesan01.html,jonesan01,1962,28,3,,77173
Anthony Randolph,Anthony Randolph,2009,2014,F,10-Jun,205,7/15/1989,15/7/1989,1989,25,LSU,https://www.basketball-reference.com/players/r/randoan01.html,randoan01,1989,25,5,,201576
Anthony Roberson,Anthony Roberson,2006,2009,G,2-Jun,180,2/14/1983,14/2/1983,1983,26,Florida,https://www.basketball-reference.com/players/r/roberan02.html,roberan02,1983,26,3,,101194
Anthony Roberts,Anthony Roberts,1978,1984,F-G,5-Jun,185,4/15/1955,15/4/1955,1955,29,Oral Roberts,https://www.basketball-reference.com/players/r/roberan01.html,roberan01,1955,29,6,,77975
Antoine Wright,Antoine Wright,2006,2011,G-F,7-Jun,210,2/6/1984,6/2/1984,1984,27,Texas A&M,https://www.basketball-reference.com/players/w/wrighan01.html,wrighan01,1984,27,5,,101120
Antonio Lang,Antonio Lang,1995,2000,F-G,8-Jun,205,5/15/1972,15/5/1972,1972,28,Duke,https://www.basketball-reference.com/players/l/langan02.html,langan02,1972,28,5,,226
Archie Dees,Archie Dees,1959,1962,F-C,8-Jun,205,2/22/1936,22/2/1936,1936,26,Indiana,https://www.basketball-reference.com/players/d/deesar01.html,deesar01,1936,26,3,,76546
Archie Goodwin,Archie Goodwin,2014,2017,G,5-Jun,200,8/17/1994,17/8/1994,1994,23,Kentucky,https://www.basketball-reference.com/players/g/goodwar01.html,goodwar01,1994,23,3,,203462
Ariel Maughan,Ariel Maughan,1947,1951,F,4-Jun,190,2/23/1923,23/2/1923,1923,28,Utah State University,https://www.basketball-reference.com/players/m/maughar01.html,maughar01,1923,28,4,,77485
Armoni Brooks,Armoni Brooks,2021,2024,G,3-Jun,195,6/5/1998,5/6/1998,1998,26,Houston,https://www.basketball-reference.com/players/b/brookar01.html,brookar01,1998,26,3,,1629717
Art Harris,Art Harris,1969,1972,G,4-Jun,185,1/13/1947,13/1/1947,1947,25,Stanford,https://www.basketball-reference.com/players/h/harriar01.html,harriar01,1947,25,3,,76956
Art Heyman,Art Heyman,1964,1970,F-G,5-Jun,205,6/24/1941,24/6/1941,1941,29,Duke,https://www.basketball-reference.com/players/h/heymaar01.html,heymaar01,1941,29,6,,77015
Art Spoelstra,Art Spoelstra,1955,1958,C,9-Jun,220,9/11/1932,11/9/1932,1932,26,Western Kentucky,https://www.basketball-reference.com/players/s/spoelar01.html,spoelar01,1932,26,3,,78232
Arvesta Kelly,Arvesta Kelly,1968,1972,G,2-Jun,175,11/20/1945,20/11/1945,1945,27,Lincoln University of Missouri,https://www.basketball-reference.com/players/k/kellyar01.html,kellyar01,1945,27,4,,
Ashton Hagans,Ashton Hagans,2021,2024,G,3-Jun,190,7/8/1999,8/7/1999,1999,25,Kentucky,https://www.basketball-reference.com/players/h/haganas01.html,haganas01,1999,25,3,,1630204
Austin Daye,Austin Daye,2010,2015,F,11-Jun,220,6/5/1988,5/6/1988,1988,27,Gonzaga,https://www.basketball-reference.com/players/d/dayeau01.html,dayeau01,1988,27,5,,201948
Austin Reaves,Austin Reaves,2022,2025,G,5-Jun,206,5/29/1998,29/5/1998,1998,27,"Wichita State, Oklahoma",https://www.basketball-reference.com/players/r/reaveau01.html,reaveau01,1998,27,3,,1630559
Axel Toupane,Axel Toupane,2016,2021,G-F,7-Jun,197,7/23/1992,23/7/1992,1992,29,,https://www.basketball-reference.com/players/t/toupaax01.html,toupaax01,1992,29,5,,1626253
Ayo Dosunmu,Ayo Dosunmu,2022,2025,G,5-Jun,200,1/17/2000,17/1/2000,2000,25,Illinois,https://www.basketball-reference.com/players/d/dosunay01.html,dosunay01,2000,25,3,,1630245
BJ Johnson,BJ Johnson,2019,2022,G,7-Jun,200,12/21/1995,21/12/1995,1995,27,"Syracuse, La Salle",https://www.basketball-reference.com/players/j/johnsbj01.html,johnsbj01,1995,27,3,,1629168
Bam Adebayo,Bam Adebayo,2018,2025,C-F,9-Jun,255,7/18/1997,18/7/1997,1997,28,Kentucky,https://www.basketball-reference.com/players/a/adebaba01.html,adebaba01,1997,28,7,,1628389
Barney Cable,Barney Cable,1959,1964,F,7-Jun,175,7/29/1935,29/7/1935,1935,29,Bradley,https://www.basketball-reference.com/players/c/cableba01.html,cableba01,1935,29,5,,76324
Barry Kramer,Barry Kramer,1965,1970,F-G,4-Jun,200,11/10/1942,10/11/1942,1942,28,NYU,https://www.basketball-reference.com/players/k/krameba01.html,krameba01,1942,28,5,,77307
Bart Kofoed,Bart Kofoed,1988,1993,G,4-Jun,210,3/24/1964,24/3/1964,1964,29,"Hastings College, University of Nebraska at Kearney",https://www.basketball-reference.com/players/k/kofoeba01.html,kofoeba01,1964,29,5,,77294
Ben Davis,Ben Davis,1997,2000,F,9-Jun,240,12/26/1972,26/12/1972,1972,28,"Kansas, Arizona",https://www.basketball-reference.com/players/d/davisbe01.html,davisbe01,1972,28,3,,989
Ben McDonald,Ben McDonald,1986,1989,F,8-Jun,210,7/20/1962,20/7/1962,1962,27,"University of California, Irvine",https://www.basketball-reference.com/players/m/mcdonbe01.html,mcdonbe01,1962,27,3,,77524
Ben McLemore,Ben McLemore,2014,2022,G,3-Jun,195,2/11/1993,11/2/1993,1993,29,Kansas,https://www.basketball-reference.com/players/m/mclembe01.html,mclembe01,1993,29,8,,203463
Ben Simmons,Ben Simmons,2018,2025,G-F,10-Jun,240,7/20/1996,20/7/1996,1996,29,LSU,https://www.basketball-reference.com/players/s/simmobe01.html,simmobe01,1996,29,7,,1627732
Bernard Thompson,Bernard Thompson,1985,1989,F-G,6-Jun,210,8/30/1962,30/8/1962,1962,27,Fresno State,https://www.basketball-reference.com/players/t/thompbe01.html,thompbe01,1962,27,4,,78323
Bernie Williams,Bernie Williams,1970,1974,G,3-Jun,175,12/30/1945,30/12/1945,1945,29,La Salle,https://www.basketball-reference.com/players/w/willibe01.html,willibe01,1945,29,4,,78540
Robert Nordmann,Robert Nordmann,1962,1965,C,10-Jun,225,12/11/1939,11/12/1939,1939,26,Saint Louis,https://www.basketball-reference.com/players/n/nordmbe01.html,nordmbe01,1939,26,3,,77727
Bill Calhoun,Bill Calhoun,1949,1955,F-G,3-Jun,180,11/4/1927,4/11/1927,1927,28,City College of San Francisco,https://www.basketball-reference.com/players/c/calhobi01.html,calhobi01,1927,28,6,,76331
Bill Curley,Bill Curley,1995,2001,F,9-Jun,220,5/29/1972,29/5/1972,1972,29,Boston College,https://www.basketball-reference.com/players/c/curlebi01.html,curlebi01,1972,29,6,,223
Bill Dinwiddie,Bill Dinwiddie,1968,1972,F,7-Jun,220,7/15/1943,15/7/1943,1943,29,New Mexico Highlands University,https://www.basketball-reference.com/players/d/dinwibi01.html,dinwibi01,1943,29,4,,76576
Bill Franklin,Bill Franklin,1973,1976,F,7-Jun,220,10/19/1949,19/10/1949,1949,27,Purdue,https://www.basketball-reference.com/players/f/frankwi01.html,frankwi01,1949,27,3,,
Bill Garnett,Bill Garnett,1983,1986,F,9-Jun,225,4/22/1960,22/4/1960,1960,26,Wyoming,https://www.basketball-reference.com/players/g/garnebi02.html,garnebi02,1960,26,3,,76785
Wilmer Hosket,Wilmer Hosket,1969,1972,F-C,8-Jun,225,12/20/1946,20/12/1946,1946,26,Ohio State,https://www.basketball-reference.com/players/h/hoskebi01.html,hoskebi01,1946,26,3,modified,77061
Bill Keller,Bill Keller,1970,1976,G,10-May,177,8/30/1947,30/8/1947,1947,29,Purdue,https://www.basketball-reference.com/players/k/kellebi01.html,kellebi01,1947,29,6,,
Bill Robinzine,Bill Robinzine,1976,1982,F,7-Jun,230,1/20/1953,20/1/1953,1953,29,DePaul,https://www.basketball-reference.com/players/r/robinbi01.html,robinbi01,1953,29,6,,77997
Bill Turner,Bill Turner,1968,1973,F,7-Jun,220,2/18/1944,18/2/1944,1944,29,University of Akron,https://www.basketball-reference.com/players/t/turnebi01.html,turnebi01,1944,29,5,,78385
Bill Willoughby,Bill Willoughby,1976,1984,F-C,8-Jun,205,5/20/1957,20/5/1957,1957,27,,https://www.basketball-reference.com/players/w/willobi01.html,willobi01,1957,27,8,,78577
Billyray Bates,Billyray Bates,1980,1983,G,4-Jun,210,5/31/1956,31/5/1956,1956,27,Kentucky State University,https://www.basketball-reference.com/players/b/batesbi01.html,batesbi01,1956,27,3,modified,76121
Billy Thompson,Billy Thompson,1987,1992,F,7-Jun,195,12/1/1963,1/12/1963,1963,29,Louisville,https://www.basketball-reference.com/players/t/thompbi01.html,thompbi01,1963,29,5,,1631
William Averitt,William Averitt,1974,1978,G,1-Jun,170,7/22/1952,22/7/1952,1952,26,Pepperdine,https://www.basketball-reference.com/players/a/averibi01.html,averibi01,1952,26,4,modified,76076
Blake Ahearn,Blake Ahearn,2008,2012,G,2-Jun,190,5/27/1984,27/5/1984,1984,28,Missouri State,https://www.basketball-reference.com/players/a/ahearbl01.html,ahearbl01,1984,28,4,,201336
Bo Lamar,Bo Lamar,1974,1977,G,1-Jun,180,4/7/1951,7/4/1951,1951,26,Louisiana,https://www.basketball-reference.com/players/l/lamarbo01.html,lamarbo01,1951,26,3,,77330
Boštjan Nachbar,Boštjan Nachbar,2003,2008,F,9-Jun,221,7/3/1980,3/7/1980,1980,28,,https://www.basketball-reference.com/players/n/nachbbo01.html,nachbbo01,1980,28,5,,2411
Bob Arnzen,Bob Arnzen,1970,1974,F,5-Jun,205,11/3/1947,3/11/1947,1947,27,Notre Dame,https://www.basketball-reference.com/players/a/arnzebo01.html,arnzebo01,1947,27,4,,76064
Bob Bedell,Bob Bedell,1968,1971,F,7-Jun,205,6/26/1944,26/6/1944,1944,27,Stanford,https://www.basketball-reference.com/players/b/bedelbo01.html,bedelbo01,1944,27,3,,
Bob Bigelow,Bob Bigelow,1976,1979,F-G,7-Jun,215,12/26/1953,26/12/1953,1953,26,Penn,https://www.basketball-reference.com/players/b/bigelbo01.html,bigelbo01,1953,26,3,,76165
Bob Brannum,Bob Brannum,1950,1955,F-C,5-Jun,215,5/28/1926,28/5/1926,1926,29,"Kentucky, Michigan State",https://www.basketball-reference.com/players/b/brannbo01.html,brannbo01,1926,29,5,,76238
Bob Christian,Bob Christian,1970,1974,C,10-Jun,255,5/11/1946,11/5/1946,1946,28,Grambling State University,https://www.basketball-reference.com/players/c/chrisbo01.html,chrisbo01,1946,28,4,,76395
Bob Donham,Bob Donham,1951,1954,G-F,2-Jun,190,10/11/1926,11/10/1926,1926,28,Ohio State,https://www.basketball-reference.com/players/d/donhabo01.html,donhabo01,1926,28,3,,76584
Bob Harris,Bob Harris,1950,1954,F-C,7-Jun,195,3/16/1927,16/3/1927,1927,27,Oklahoma State,https://www.basketball-reference.com/players/h/harribo01.html,harribo01,1927,27,4,,76959
Bob Hopkins,Bob Hopkins,1957,1960,C-F,8-Jun,205,11/3/1934,3/11/1934,1934,26,Grambling State University,https://www.basketball-reference.com/players/h/hopkibo01.html,hopkibo01,1934,26,3,,77052
Bob Houbregs*,Bob Houbregs,1954,1958,C-F,8-Jun,225,3/12/1932,12/3/1932,1932,26,Washington,https://www.basketball-reference.com/players/h/houbrbo01.html,houbrbo01,1932,26,4,,77062
Bob Kauffman,Bob Kauffman,1969,1975,F-C,8-Jun,240,7/13/1946,13/7/1946,1946,29,Guilford College,https://www.basketball-reference.com/players/k/kauffbo01.html,kauffbo01,1946,29,6,,77227
Bob Lavoy,Bob Lavoy,1951,1954,F-C,7-Jun,185,6/29/1926,29/6/1926,1926,28,"Illinois, Western Kentucky",https://www.basketball-reference.com/players/l/lavoybo01.html,lavoybo01,1926,28,3,,77347
Bob Nash,Bob Nash,1973,1979,F,8-Jun,195,8/24/1950,24/8/1950,1950,29,"San Jacinto College, Hawaii",https://www.basketball-reference.com/players/n/nashbo01.html,nashbo01,1950,29,6,,77688
Bob Portman,Bob Portman,1970,1973,F,5-Jun,200,3/22/1947,22/3/1947,1947,26,Creighton,https://www.basketball-reference.com/players/p/portmbo01.html,portmbo01,1947,26,3,,77878
Bob Quick,Bob Quick,1969,1972,F-G,5-Jun,215,3/5/1946,5/3/1946,1946,26,Xavier,https://www.basketball-reference.com/players/q/quickbo01.html,quickbo01,1946,26,3,,77892
Bob Verga,Bob Verga,1968,1974,G,1-Jun,190,9/7/1945,7/9/1945,1945,29,Duke,https://www.basketball-reference.com/players/v/vergabo01.html,vergabo01,1945,29,6,,78413
Bob Warlick,Bob Warlick,1966,1970,G-F,5-Jun,200,3/20/1941,20/3/1941,1941,29,"University of Southern Colorado, Pepperdine",https://www.basketball-reference.com/players/w/warlibo01.html,warlibo01,1941,29,4,,78459
Bob Wilkerson,Bob Wilkerson,1977,1983,G-F,6-Jun,195,8/15/1954,15/8/1954,1954,29,Indiana,https://www.basketball-reference.com/players/w/wilkebo01.html,wilkebo01,1954,29,6,,78531
Bobby Cattage,Bobby Cattage,1982,1986,F,9-Jun,250,8/17/1958,17/8/1958,1958,28,Auburn,https://www.basketball-reference.com/players/c/cattabo01.html,cattabo01,1958,28,4,,76368
Bobby Hurley,Bobby Hurley,1994,1998,G,Jun-00,165,6/28/1971,28/6/1971,1971,27,Duke,https://www.basketball-reference.com/players/h/hurlebo01.html,hurlebo01,1971,27,4,,310
Bobby Lewis,Bobby Lewis,1968,1971,G,3-Jun,175,3/20/1945,20/3/1945,1945,26,UNC,https://www.basketball-reference.com/players/l/lewisbo01.html,lewisbo01,1945,26,3,,77385
Bobby Wilson,Bobby Wilson,1975,1978,G,3-Jun,175,1/15/1951,15/1/1951,1951,27,Wichita State,https://www.basketball-reference.com/players/w/wilsobo03.html,wilsobo03,1951,27,3,,78585
Bol Bol,Bol Bol,2020,2025,F-C,3-Jul,220,11/16/1999,16/11/1999,1999,26,Oregon,https://www.basketball-reference.com/players/b/bolbo01.html,bolbo01,1999,26,5,,1629626
Bones Hyland,Bones Hyland,2022,2025,G,2-Jun,173,9/14/2000,14/9/2000,2000,25,VCU,https://www.basketball-reference.com/players/h/hylanbo01.html,hylanbo01,2000,25,3,,1630538
Brad Daugherty,Brad Daugherty,1987,1994,C,Jul-00,245,10/19/1965,19/10/1965,1965,29,UNC,https://www.basketball-reference.com/players/d/daughbr01.html,daughbr01,1965,29,7,,921
Brandon Boston Jr.,Brandon Boston Jr.,2022,2025,G-F,7-Jun,185,11/28/2001,28/11/2001,2001,24,Kentucky,https://www.basketball-reference.com/players/b/bostobr01.html,bostobr01,2001,24,3,,1630527
Brandon Clarke,Brandon Clarke,2020,2025,F,8-Jun,215,9/19/1996,19/9/1996,1996,29,"San Jose State, Gonzaga",https://www.basketball-reference.com/players/c/clarkbr01.html,clarkbr01,1996,29,5,,1629634
Brandon Goodwin,Brandon Goodwin,2019,2022,G,Jun-00,180,10/2/1995,2/10/1995,1995,27,"Central Florida, Florida Gulf Coast",https://www.basketball-reference.com/players/g/goodwbr01.html,goodwbr01,1995,27,3,,1629164
Brandon Ingram,Brandon Ingram,2017,2025,F,8-Jun,190,9/2/1997,2/9/1997,1997,28,Duke,https://www.basketball-reference.com/players/i/ingrabr01.html,ingrabr01,1997,28,8,,1627742
Brandon Jennings,Brandon Jennings,2010,2018,G,1-Jun,170,9/23/1989,23/9/1989,1989,29,,https://www.basketball-reference.com/players/j/jennibr01.html,jennibr01,1989,29,8,,201943
Brandon Roy,Brandon Roy,2007,2013,G,6-Jun,215,7/23/1984,23/7/1984,1984,29,Washington,https://www.basketball-reference.com/players/r/roybr01.html,roybr01,1984,29,6,,200750
Brandon Williams,Brandon Williams,2022,2025,G,1-Jun,190,11/22/1999,22/11/1999,1999,26,Arizona,https://www.basketball-reference.com/players/w/willibr03.html,willibr03,1999,26,3,,1630314
Brandon Williams,Brandon Williams,1998,2003,G,6-Jun,215,2/27/1975,27/2/1975,1975,28,Davidson,https://www.basketball-reference.com/players/w/willibr01.html,willibr01,1975,28,5,,1585
Brooks Thompson,Brooks Thompson,1995,1998,G,4-Jun,193,7/19/1970,19/7/1970,1970,28,"Texas A&M, Oklahoma State",https://www.basketball-reference.com/players/t/thompbr01.html,thompbr01,1970,28,3,,240
Bruce Brown,Bruce Brown,2019,2025,G-F,4-Jun,202,8/15/1996,15/8/1996,1996,29,Miami (FL),https://www.basketball-reference.com/players/b/brownbr01.html,brownbr01,1996,29,6,,1628971
Bruce Seals,Bruce Seals,1974,1978,F,8-Jun,210,6/18/1953,18/6/1953,1953,25,Xavier University of Louisiana,https://www.basketball-reference.com/players/s/sealsbr01.html,sealsbr01,1953,25,4,,78103
Bruno Šundov,Bruno Šundov,1999,2005,C,2-Jul,220,2/10/1980,10/2/1980,1980,25,,https://www.basketball-reference.com/players/s/sundobr01.html,sundobr01,1980,25,6,,1743
Bruno Caboclo,Bruno Caboclo,2015,2021,F-C,9-Jun,218,9/21/1995,21/9/1995,1995,26,,https://www.basketball-reference.com/players/c/cabocbr01.html,cabocbr01,1995,26,6,,203998
Bruno Fernando,Bruno Fernando,2020,2025,F,9-Jun,240,8/15/1998,15/8/1998,1998,27,Maryland,https://www.basketball-reference.com/players/f/fernabr01.html,fernabr01,1998,27,5,,1628981
Bryan Warrick,Bryan Warrick,1983,1986,G,5-Jun,195,7/22/1959,22/7/1959,1959,27,Saint Joseph's,https://www.basketball-reference.com/players/w/warribr01.html,warribr01,1959,27,3,,78462
Bryant Reeves,Bryant Reeves,1996,2001,C,Jul-00,275,6/8/1973,8/6/1973,1973,28,Oklahoma State,https://www.basketball-reference.com/players/r/reevebr01.html,reevebr01,1973,28,5,,735
Robert Hawkins,Robert Hawkins,1976,1979,G,4-Jun,190,6/30/1954,30/6/1954,1954,25,Illinois State,https://www.basketball-reference.com/players/h/hawkiro01.html,hawkiro01,1954,25,3,modified,76975
Buck Johnson,Buck Johnson,1987,1993,F,7-Jun,190,1/3/1964,3/1/1964,1964,29,Alabama,https://www.basketball-reference.com/players/j/johnsbu01.html,johnsbu01,1964,29,6,,77130
