Player Name,Clean Name,From,To,Pos,Ht,Wt,Birth Date,Birth Date(TextToColumn),Birth_Year,RetireAge,Colleges,URL,player_id,birthday year,retire age,career length
Al Smith,Al Smith,1972,1976,G,1-Jun,185,1/15/1947,15/1/1947,1947,29,Bradley,https://www.basketball-reference.com/players/s/smithal01.html,smithal01,1947,29,4
Al Thornton,Al Thornton,2008,2011,F,8-Jun,220,12/7/1983,7/12/1983,1983,28,Florida State,https://www.basketball-reference.com/players/t/thornal01.html,thornal01,1983,28,3
Al Tucker,Al Tucker,1968,1972,F,8-Jun,190,2/24/1943,24/2/1943,1943,29,Oklahoma Baptist University,https://www.basketball-reference.com/players/t/tuckeal01.html,tuckeal01,1943,29,4
Al Williams,Al Williams,1971,1971,F,6-Jun,200,2/3/1948,3/2/1948,1948,23,Drake University,https://www.basketball-reference.com/players/w/willial01.html,willial01,1948,23,0
Al Wood,Al Wood,1982,1987,G-F,6-Jun,193,6/2/1958,2/6/1958,1958,29,UNC,https://www.basketball-reference.com/players/w/woodal01.html,woodal01,1958,29,5
Alaa Abdelnaby,Alaa Abdelnaby,1991,1995,F-C,10-Jun,240,6/24/1968,24/6/1968,1968,27,Duke,https://www.basketball-reference.com/players/a/abdelal01.html,abdelal01,1968,27,4
James Edwards,James Edwards,1978,1996,C-F,Jul-00,225,11/22/1955,22/11/1955,1955,41,Washington,https://www.basketball-reference.com/players/e/edwarja01.html,edwarja01,1955,41,18
Alan Hardy,Alan Hardy,1981,1982,F,7-Jun,195,5/25/1957,25/5/1957,1957,25,Michigan,https://www.basketball-reference.com/players/h/hardyal01.html,hardyal01,1957,25,1
Jason Terry,Jason Terry,2000,2018,G,2-Jun,185,9/15/1977,15/9/1977,1977,41,Arizona,https://www.basketball-reference.com/players/t/terryja01.html,terryja01,1977,41,18
Alan Ogg,Alan Ogg,1991,1993,C,2-Jul,240,7/5/1967,5/7/1967,1967,26,UAB,https://www.basketball-reference.com/players/o/oggal01.html,oggal01,1967,26,2
Alan Sawyer,Alan Sawyer,1951,1951,F,5-Jun,195,1/1/1928,1/1/1928,1928,23,UCLA,https://www.basketball-reference.com/players/s/sawyeal01.html,sawyeal01,1928,23,0
Alan Williams,Alan Williams,2016,2019,F-C,8-Jun,265,1/28/1993,28/1/1993,1993,26,UC Santa Barbara,https://www.basketball-reference.com/players/w/willial03.html,willial03,1993,26,3
Alando Tucker,Alando Tucker,2008,2010,F,6-Jun,205,2/11/1984,11/2/1984,1984,26,Wisconsin,https://www.basketball-reference.com/players/t/tuckeal02.html,tuckeal02,1984,26,2
Albert King,Albert King,1982,1992,F-G,6-Jun,190,12/17/1959,17/12/1959,1959,33,Maryland,https://www.basketball-reference.com/players/k/kingal01.html,kingal01,1959,33,10
Joe Johnson,Joe Johnson,2002,2022,G-F,7-Jun,240,6/29/1981,29/6/1981,1981,41,Arkansas,https://www.basketball-reference.com/players/j/johnsjo02.html,johnsjo02,1981,41,20
Alec Kessler,Alec Kessler,1991,1994,F-C,11-Jun,230,1/13/1967,13/1/1967,1967,27,Georgia,https://www.basketball-reference.com/players/k/kesslal01.html,kesslal01,1967,27,3
Alec Peters,Alec Peters,2018,2018,F,9-Jun,232,4/13/1995,13/4/1995,1995,23,Valparaiso,https://www.basketball-reference.com/players/p/peteral01.html,peteral01,1995,23,0
Aleem Ford,Aleem Ford,2022,2022,F,8-Jun,220,12/22/1997,22/12/1997,1997,25,Wisconsin,https://www.basketball-reference.com/players/f/fordal03.html,fordal03,1997,25,0
Aleksandar Djordjevic,Aleksandar Djordjevic,1997,1997,G,2-Jun,198,8/26/1967,26/8/1967,1967,30,,https://www.basketball-reference.com/players/d/djordal01.html,djordal01,1967,30,0
Aleksandar Radojević,Aleksandar Radojević,2000,2005,C,3-Jul,250,8/8/1976,8/8/1976,1976,29,Barton County Community College,https://www.basketball-reference.com/players/r/radojal01.html,radojal01,1976,29,5
Aleksej Pokusevski,Aleksej Pokusevski,2021,2024,F,Jul-00,190,12/26/2001,26/12/2001,2001,23,,https://www.basketball-reference.com/players/p/pokusal01.html,pokusal01,2001,23,3
Alen Smailagić,Alen Smailagić,2020,2021,F,10-Jun,215,8/18/2000,18/8/2000,2000,21,,https://www.basketball-reference.com/players/s/smailal01.html,smailal01,2000,21,1
Alex Acker,Alex Acker,2006,2009,G,5-Jun,185,1/21/1983,21/1/1983,1983,26,Pepperdine,https://www.basketball-reference.com/players/a/ackeral01.html,ackeral01,1983,26,3
Alex Blackwell,Alex Blackwell,1993,1993,F,6-Jun,250,6/27/1970,27/6/1970,1970,23,Monmouth University,https://www.basketball-reference.com/players/b/blackal01.html,blackal01,1970,23,0
Alex Bradley,Alex Bradley,1982,1982,F,6-Jun,215,10/30/1959,30/10/1959,1959,23,Villanova,https://www.basketball-reference.com/players/b/bradlal02.html,bradlal02,1959,23,0
Alex Caruso,Alex Caruso,2018,2025,G,5-Jun,186,2/28/1994,28/2/1994,1994,31,Texas A&M,https://www.basketball-reference.com/players/c/carusal01.html,carusal01,1994,31,7
Alex Ducas,Alex Ducas,2025,2025,G-F,6-Jun,222,12/11/2000,11/12/2000,2000,25,Saint Mary's University,https://www.basketball-reference.com/players/d/ducasal01.html,ducasal01,2000,25,0
John Long,John Long,1979,1997,G-F,5-Jun,195,8/28/1956,28/8/1956,1956,41,Detroit Mercy,https://www.basketball-reference.com/players/l/longjo01.html,longjo01,1956,41,18
Alex Fudge,Alex Fudge,2024,2024,F,8-Jun,200,5/6/2003,6/5/2003,2003,21,"LSU, Florida",https://www.basketball-reference.com/players/f/fudgeal01.html,fudgeal01,2003,21,0
Alex Garcia,Alex Garcia,2004,2005,G,3-Jun,220,3/4/1980,4/3/1980,1980,25,,https://www.basketball-reference.com/players/g/garcial01.html,garcial01,1980,25,1
Alex Groza,Alex Groza,1950,1951,C,7-Jun,218,10/7/1926,7/10/1926,1926,25,Kentucky,https://www.basketball-reference.com/players/g/grozaal01.html,grozaal01,1926,25,1
John Stockton*,John Stockton,1985,2003,G,1-Jun,170,3/26/1962,26/3/1962,1962,41,Gonzaga,https://www.basketball-reference.com/players/s/stockjo01.html,stockjo01,1962,41,18
Alex Kirk,Alex Kirk,2015,2015,C,Jul-00,245,11/14/1991,14/11/1991,1991,24,New Mexico,https://www.basketball-reference.com/players/k/kirkal01.html,kirkal01,1991,24,0
Alex Len,Alex Len,2014,2025,C,Jul-00,250,6/16/1993,16/6/1993,1993,32,Maryland,https://www.basketball-reference.com/players/l/lenal01.html,lenal01,1993,32,11
Alex Poythress,Alex Poythress,2017,2019,F,9-Jun,235,9/6/1993,6/9/1993,1993,26,Kentucky,https://www.basketball-reference.com/players/p/poythal01.html,poythal01,1993,26,2
Alex Reese,Alex Reese,2025,2025,F,9-Jun,245,5/21/1999,21/5/1999,1999,26,Alabama,https://www.basketball-reference.com/players/r/reeseal01.html,reeseal01,1999,26,0
Alex Sarr,Alex Sarr,2025,2025,F,Jul-00,205,4/26/2005,26/4/2005,2005,20,,https://www.basketball-reference.com/players/s/sarral01.html,sarral01,2005,20,0
Alex Scales,Alex Scales,2006,2006,G,4-Jun,185,7/3/1978,3/7/1978,1978,28,Oregon,https://www.basketball-reference.com/players/s/scaleal01.html,scaleal01,1978,28,0
Alex Stepheson,Alex Stepheson,2016,2016,F,10-Jun,270,8/7/1987,7/8/1987,1987,29,"UNC, USC",https://www.basketball-reference.com/players/s/stephal01.html,stephal01,1987,29,0
Alex Stivrins,Alex Stivrins,1986,1993,F,8-Jun,220,11/29/1962,29/11/1962,1962,31,"Creighton, Colorado",https://www.basketball-reference.com/players/s/stivral01.html,stivral01,1962,31,7
Alexander Johnson,Alexander Johnson,2007,2008,F,9-Jun,240,2/8/1983,8/2/1983,1983,25,Florida State,https://www.basketball-reference.com/players/j/johnsal01.html,johnsal01,1983,25,1
Alexander Volkov,Alexander Volkov,1990,1992,C,10-Jun,218,3/28/1964,28/3/1964,1964,28,,https://www.basketball-reference.com/players/v/volkoal01.html,volkoal01,1964,28,2
Alexey Shved,Alexey Shved,2013,2015,G,6-Jun,190,12/16/1988,16/12/1988,1988,27,,https://www.basketball-reference.com/players/s/shvedal01.html,shvedal01,1988,27,2
Alexis Ajinça,Alexis Ajinça,2009,2017,C-F,2-Jul,248,5/6/1988,6/5/1988,1988,29,,https://www.basketball-reference.com/players/a/ajincal01.html,ajincal01,1988,29,8
Al-Farouq Aminu,Al-Farouq Aminu,2011,2021,F,8-Jun,220,9/21/1990,21/9/1990,1990,31,Wake Forest,https://www.basketball-reference.com/players/a/aminual01.html,aminual01,1990,31,10
Alfonzo McKinnie,Alfonzo McKinnie,2018,2022,F,7-Jun,215,9/17/1992,17/9/1992,1992,30,Green Bay,https://www.basketball-reference.com/players/m/mckinal01.html,mckinal01,1992,30,4
Alfredrick Hughes,Alfredrick Hughes,1986,1986,F-G,5-Jun,215,7/19/1962,19/7/1962,1962,24,Loyola Chicago,https://www.basketball-reference.com/players/h/hugheri01.html,hugheri01,1962,24,0
Alize Johnson,Alize Johnson,2019,2023,F,7-Jun,212,4/22/1996,22/4/1996,1996,27,"Frank Phillips College, Missouri State",https://www.basketball-reference.com/players/j/johnsal02.html,johnsal02,1996,27,4
Allan Bristow,Allan Bristow,1974,1983,F-G,7-Jun,210,8/23/1951,23/8/1951,1951,32,Virginia Tech,https://www.basketball-reference.com/players/b/bristal01.html,bristal01,1951,32,9
Karl Malone*,Karl Malone,1986,2004,F,9-Jun,250,7/24/1963,24/7/1963,1963,41,Louisiana Tech,https://www.basketball-reference.com/players/m/malonka01.html,malonka01,1963,41,18
Allan Ray,Allan Ray,2007,2007,G,2-Jun,190,6/17/1984,17/6/1984,1984,23,Villanova,https://www.basketball-reference.com/players/r/rayal01.html,rayal01,1984,23,0
Allen Crabbe,Allen Crabbe,2014,2020,G-F,5-Jun,212,4/9/1992,9/4/1992,1992,28,California,https://www.basketball-reference.com/players/c/crabbal01.html,crabbal01,1992,28,6
Kurt Thomas,Kurt Thomas,1996,2013,F,9-Jun,230,10/4/1972,4/10/1972,1972,41,TCU,https://www.basketball-reference.com/players/t/thomaku01.html,thomaku01,1972,41,17
Allen Leavell,Allen Leavell,1980,1989,G,1-Jun,170,5/27/1957,27/5/1957,1957,32,Oklahoma City University,https://www.basketball-reference.com/players/l/leaveal01.html,leaveal01,1957,32,9
Allen Murphy,Allen Murphy,1976,1977,G,5-Jun,190,7/15/1952,15/7/1952,1952,25,Louisville,https://www.basketball-reference.com/players/m/murphal01.html,murphal01,1952,25,1
Allie McGuire,Allie McGuire,1974,1974,G,3-Jun,175,7/10/1951,10/7/1951,1951,23,Marquette,https://www.basketball-reference.com/players/m/mcguial02.html,mcguial02,1951,23,0
Allonzo Trier,Allonzo Trier,2019,2020,G,4-Jun,200,1/17/1996,17/1/1996,1996,24,Arizona,https://www.basketball-reference.com/players/t/trieral01.html,trieral01,1996,24,1
